observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;MarketReturn;BS;BS_SD
05.07.2007;55;55;0;0.000691014186331876;0.000385928181274475;-0.00986368555246689;-0.00107396917938392;-0.171;0.426203871671211;0.675819936384853
06.07.2007;55;55;0;-0.000404018993661571;0.000691014186331876;0.00367912993058708;-0.00986368555246689;1.079;0.428384332401893;0.673141045703954
09.07.2007;53;55;-2;-0.00196657432436504;-0.000404018993661571;0.00645635804989183;0.00367912993058708;0.379;0.429278417089398;0.675374352066864
10.07.2007;55;53;2;-0.00380058516348067;-0.00196657432436504;0.00141915034377218;0.00645635804989183;0.089;0.431503300278874;0.674186318879966
11.07.2007;55;55;0;-0.0017646138254845;-0.00380058516348067;-0.00134601619864365;0.00141915034377218;0.419;0.436521692751767;0.674868986369427
12.07.2007;53;55;-2;0.00030911282115393;-0.0017646138254845;0.000173855745412807;-0.00134601619864365;0.119;0.439590500490455;0.667976983669456
13.07.2007;53;53;0;-0.0017393609589871;0.00030911282115393;0.00241386590009142;0.000173855745412807;-1.411;0.436098677735682;0.670704901416601
16.07.2007;52;53;-1;0.00352763661836934;-0.0017393609589871;0.000172599744990952;0.00241386590009142;0.569;0.435890040224288;0.645319671790421
17.07.2007;54;52;2;-0.00181231878581661;0.00352763661836934;0.000754106518758631;0.000172599744990952;1.799;0.438051825263229;0.644200708358979
18.07.2007;54;54;0;0.00163369790380471;-0.00181231878581661;0.00279614980057053;0.000754106518758631;0.299;0.439566314004822;0.648803497449696
19.07.2007;52;54;-2;0.00118471388149149;0.00163369790380471;-0.00153571724436897;0.00279614980057053;-0.291;0.43848479477933;0.649581449893279
20.07.2007;53;52;1;0.000696508714123373;0.00118471388149149;-0.00773025063635014;-0.00153571724436897;0.039;0.437372279609646;0.655818638514956
23.07.2007;48;53;-5;0.00674021870639401;0.000696508714123373;-0.000848499432701895;-0.00773025063635014;-0.231;0.433416621374706;0.673460038087296
24.07.2007;48;48;0;0.00842389426602483;0.00674021870639401;0.00478325314826025;-0.000848499432701895;0.459;0.428946849631794;0.683303703088402
25.07.2007;51;48;3;0.00668197336011023;0.00842389426602483;0.00128208784036147;0.00478325314826025;-1.231;0.42969074347784;0.678263826062685
26.07.2007;58;51;7;-0.00490744987423631;0.00668197336011023;0.000540865339410386;0.00128208784036147;0.379;0.429161211510784;0.676161260925877
27.07.2007;64;58;6;-0.0076287338998161;-0.00490744987423631;-0.0043616501519506;0.000540865339410386;-2.021;0.429081326966916;0.682415697371968
30.07.2007;54;64;-10;-0.00569181421733346;-0.0076287338998161;0.00130994988492752;-0.0043616501519506;0.319;0.428248989461758;0.686808255429272
31.07.2007;54;54;0;-0.001027622669388;-0.00569181421733346;0.00108741800661697;0.00130994988492752;-2.341;0.430579767994794;0.681927944025858
01.08.2007;61;54;7;0.00996000151441958;-0.001027622669388;-0.00362219603247384;0.00108741800661697;-1.491;0.429479819858793;0.684177365557376
02.08.2007;61;61;0;0.0034140856521935;0.00996000151441958;0.00530079490944938;-0.00362219603247384;0.949;0.422051111544591;0.679279899856239
03.08.2007;64;61;3;0.00698947893041743;0.0034140856521935;0.00275500933648843;0.00530079490944938;-1.171;0.423858425154957;0.667284369636679
06.08.2007;62;64;-2;0.013377899857106;0.00698947893041743;0.00579985868687342;0.00275500933648843;0.528;0.428264232659946;0.676402954552194
07.08.2007;56;62;-6;-0.00483852498462062;0.013377899857106;-0.0127054802414554;0.00579985868687342;0.568;0.426785096638821;0.675544254530747
08.08.2007;57;56;1;-0.00682426247955783;-0.00483852498462062;-0.010855256742287;-0.0127054802414554;-2.642;0.42595372730229;0.680515172799243
09.08.2007;83;57;26;-0.00711156836098404;-0.00682426247955783;-0.0030191684835936;-0.010855256742287;2.088;0.425987243953151;0.680434939923417
10.08.2007;113;83;30;0.00352716764732914;-0.00711156836098404;-0.00266577489560656;-0.0030191684835936;0.668;0.42400750890831;0.688030972112135
13.08.2007;95;113;-18;0.0033815638866857;0.00352716764732914;0.00988208890473102;-0.00266577489560656;1.488;0.422428582301415;0.688265927740939
14.08.2007;102;95;7;0.00470882254830862;0.0033815638866857;0.00633435037974339;0.00988208890473102;-2.722;0.421463274352005;0.711009596033681
15.08.2007;142;102;40;0.0106379410174412;0.00470882254830862;0.000045875403059184;0.00633435037974339;0.048;0.421836589895007;0.715503520784393
16.08.2007;182;142;40;0.00222457741270572;0.0106379410174412;0.0181297936102514;0.000045875403059184;-0.042;0.424339076481522;0.732014515009594
17.08.2007;185;182;3;-0.00173244893058675;0.00222457741270572;-0.00267093682189742;0.0181297936102514;-1.812;0.426094535118518;0.734907657467125
20.08.2007;242;185;57;-0.00499961250508086;-0.00173244893058675;-0.00237703808471946;-0.00267093682189742;-1.442;0.426169464917792;0.733790104987279
